OID_PUMA5_20|GEOID_PUMA5_20|NAMELSAD_PUMA5_20|AREALAND_PUMA5_20|AREAWATER_PUMA5_20|MTFCC_PUMA5_20|FUNCSTAT_PUMA5_20|OID_PUMA5_10|GEOID_PUMA5_10|NAMELSAD_PUMA5_10|AREALAND_PUMA5_10|AREAWATER_PUMA5_10|MTFCC_PUMA5_10|FUNCSTAT_PUMA5_10|AREALAND_PART|AREAWATER_PART
217704486508446|4500301|Greenville County (North)--Greer (North & West) & Travelers Rest Cities PUMA|1015955272|16099608|G6120|S|217404486508018|4500103|Greenville County (North Central & Outside Greenville City)--Wade Hampton & Berea PUMA|325861103|3100434|G6120|S|102326208|1286426
217704486481672|4500302|Greenville County (South & West)--Outside Greenville City PUMA|451950629|4463770|G6120|S|217404486508018|4500103|Greenville County (North Central & Outside Greenville City)--Wade Hampton & Berea PUMA|325861103|3100434|G6120|S|113001586|920171
217704486481672|4500302|Greenville County (South & West)--Outside Greenville City PUMA|451950629|4463770|G6120|S|217404486508824|4500104|Greenville County (Central)--Greenville & Mauldin Cities PUMA|155608274|1424288|G6120|S|14593577|106040
217704486481672|4500302|Greenville County (South & West)--Outside Greenville City PUMA|451950629|4463770|G6120|S|217404486508820|4500105|Greenville (South) & Laurens Counties--Simpsonville, Laurens & Clinton Cities PUMA|2430725500|31440964|G6120|S|324355466|3334071
217704486481672|4500302|Greenville County (South & West)--Outside Greenville City PUMA|451950629|4463770|G6120|S|217404486506720|4500200|Anderson County--Anderson City PUMA|1852004969|108759992|G6120|S|0|103488
2177029550580440|4500303|Greenville County (Central)--Greenville & Mauldin Cities PUMA|120748029|1024559|G6120|S|217404486508018|4500103|Greenville County (North Central & Outside Greenville City)--Wade Hampton & Berea PUMA|325861103|3100434|G6120|S|7190131|25759
2177029550580440|4500303|Greenville County (Central)--Greenville & Mauldin Cities PUMA|120748029|1024559|G6120|S|217404486508824|4500104|Greenville County (Central)--Greenville & Mauldin Cities PUMA|155608274|1424288|G6120|S|113557898|998800
2177029550580457|4500304|Greenville County (Central East)--Greer City (South & West) PUMA|145810522|975942|G6120|S|217404486480301|4500102|Greenville County (North)--Greer City (North & West) & Taylors (Central & East) PUMA|969814203|15123523|G6120|S|56123540|308401
2177029550580457|4500304|Greenville County (Central East)--Greer City (South & West) PUMA|145810522|975942|G6120|S|217404486508018|4500103|Greenville County (North Central & Outside Greenville City)--Wade Hampton & Berea PUMA|325861103|3100434|G6120|S|80291325|575637
2177029550580457|4500304|Greenville County (Central East)--Greer City (South & West) PUMA|145810522|975942|G6120|S|217404486508824|4500104|Greenville County (Central)--Greenville & Mauldin Cities PUMA|155608274|1424288|G6120|S|9371820|91767
2177029550580457|4500304|Greenville County (Central East)--Greer City (South & West) PUMA|145810522|975942|G6120|S|217404486481672|4500302|Spartanburg County (Outside Spartanburg City)--Greer City (East) PUMA|1777435263|27505632|G6120|S|23837|137
2177029550580442|4500305|Greenville (South & East)--Outside Greenville & Greer (South) Cities PUMA|301093499|2409720|G6120|S|217404486508018|4500103|Greenville County (North Central & Outside Greenville City)--Wade Hampton & Berea PUMA|325861103|3100434|G6120|S|23031275|174602
