OID_PUMA5_20|GEOID_PUMA5_20|NAMELSAD_PUMA5_20|AREALAND_PUMA5_20|AREAWATER_PUMA5_20|MTFCC_PUMA5_20|FUNCSTAT_PUMA5_20|OID_UA_20|GEOID_UA_20|NAMELSAD_UA_20|AREALAND_UA_20|AREAWATER_UA_20|MTFCC_UA_20|FUNCSTAT_UA_20|AREALAND_PART|AREAWATER_PART
2177029550566459|1703161|Chicago City (South)--Hyde Park, Grand Boulevard, Woodlawn, Douglas & Kenwood PUMA|28133776|7126830|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|28133776|411471
2177029550566434|1703162|Chicago City (Southwest)--New City, Lower West Side, Bridgeport & McKinley Park PUMA|31186269|618889|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|31186269|618889
2177029550566438|1703163|Chicago City (Southwest)--South Lawndale, Brighton Park & Gage Park PUMA|24245234|428994|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|24245234|428994
2177029550566492|1703164|Chicago City (Southwest)--Ashburn, Garfield Ridge, West Lawn, Clearing & West Elsdon PUMA|45968611|48984|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|45968611|48984
2177029550566460|1703165|Chicago City (South)--Chicago Lawn, Greater Grand Crossing & West Englewood/Englewood PUMA|34269470|172228|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|34269470|172228
2177029550566426|1703166|Chicago City (Southwest)--Auburn Gresham, Washington Heights, Morgan Park & Beverly PUMA|40617057|0|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|40617057|0
2177029550566450|1703167|Chicago City (South)--Roseland, Chatham, West Pullman, Calumet Heights & Avalon Park PUMA|52642286|735218|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|52642286|735218
2177029550566420|1703168|Chicago City (South)--South Shore, South Chicago, East Side & South Deering PUMA|60078977|10515006|G6120|S||||||||0|4560148
2177029550566420|1703168|Chicago City (South)--South Shore, South Chicago, East Side & South Deering PUMA|60078977|10515006|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|60078977|5954858
217704486282465|1703700|DeKalb & Ogle Counties PUMA|3600057901|20940698|G6120|S||||||||3486128680|19456763
217704486282465|1703700|DeKalb & Ogle Counties PUMA|3600057901|20940698|G6120|S|27070677499396|12079|Byron, IL Urban Area|8606615|672655|G3500|S|8606615|672655
217704486282465|1703700|DeKalb & Ogle Counties PUMA|3600057901|20940698|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|7184505|5672
217704486282465|1703700|DeKalb & Ogle Counties PUMA|3600057901|20940698|G6120|S|27070177686661|22960|DeKalb, IL Urban Area|66387396|626929|G3500|S|66387396|626929
217704486282465|1703700|DeKalb & Ogle Counties PUMA|3600057901|20940698|G6120|S|27070177686662|32869|Genoa, IL Urban Area|5685910|128733|G3500|S|5685910|128733
217704486282465|1703700|DeKalb & Ogle Counties PUMA|3600057901|20940698|G6120|S|270704485566732|46760|Lake Holiday, IL Urban Area|11138120|1250252|G3500|S|1285170|0
217704486282465|1703700|DeKalb & Ogle Counties PUMA|3600057901|20940698|G6120|S|27070677499400|75583|Rochelle, IL Urban Area|24779625|49946|G3500|S|24779625|49946
2177029550566493|1704301|DuPage County (Northwest)--Wayne, Bloomingdale (South) & Winfield (North) Townships PUMA|187645852|5856322|G6120|S||||||||17732193|687457
2177029550566493|1704301|DuPage County (Northwest)--Wayne, Bloomingdale (South) & Winfield (North) Townships PUMA|187645852|5856322|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|169913659|5168865
2177029550566494|1704302|DuPage County (Northeast)--Addison & Bloomingdale (North) Townships PUMA|115486907|2566215|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|115486907|2566215
2177029550566451|1704303|DuPage County (East Central)--York Township PUMA|90774887|1529170|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|90774887|1529170
2177029550566467|1704304|DuPage County (Central)--Milton Township PUMA|89153034|2239760|G6120|S||||||||5752728|383568
2177029550566467|1704304|DuPage County (Central)--Milton Township PUMA|89153034|2239760|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|83400306|1856192
2177029550566437|1704305|DuPage County (Southwest)--Naperville & Winfield (South) Townships PUMA|145708754|5060821|G6120|S||||||||36280695|2354627
2177029550566437|1704305|DuPage County (Southwest)--Naperville & Winfield (South) Townships PUMA|145708754|5060821|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|109428059|2706194
