OID_UA_10|GEOID_UA_10|NAMELSAD_UA_10|AREALAND_UA_10|AREAWATER_UA_10|MTFCC_UA_10|FUNCSTAT_UA_10|OID_UA_20|GEOID_UA_20|NAMELSAD_UA_20|AREALAND_UA_20|AREAWATER_UA_20|MTFCC_UA_20|FUNCSTAT_UA_20|AREALAND_PART|AREAWATER_PART
|||||||2707058922384|05869|Bay City, MI Urban Area|103422422|2949655|G3500|S|7903523|186295
|||||||27070400860969|05896|Bay City, TX Urban Area|26972308|41853|G3500|S|6485149|34718
|||||||27070114112942|05923|Bay Minette, AL Urban Area|18014152|143683|G3500|S|4343581|13475
|||||||2707032391317789|05935|Bayside Gardens--Manzanita, OR Urban Area|7720067|3042|G3500|S|7720067|3042
|||||||270704485566833|05958|Bealeton, VA Urban Area|11316315|20856|G3500|S|4816093|2777
|||||||27070261602995|05977|Beardstown, IL Urban Area|5541099|96717|G3500|S|565845|69472
|||||||2707072511240|06004|Beatrice, NE Urban Area|22510017|168444|G3500|S|6729411|7711
|||||||27070214324079|06031|Beaufort--Port Royal, SC Urban Area|113338543|1418819|G3500|S|21353806|52660
|||||||27070227969919|06058|Beaumont, TX Urban Area|248896009|3817936|G3500|S|22163267|812466
|||||||27070192586597|06085|Beaver Dam, KY Urban Area|8811959|24352|G3500|S|1156487|6736
|||||||270701917192234|06112|Beaver Dam, WI Urban Area|24305017|71584|G3500|S|4936526|10055
|||||||27070984086600|06139|Beckley, WV Urban Area|138915493|431443|G3500|S|16268562|63791
|||||||27070114421158|06166|Bedford, IN Urban Area|22034934|2314|G3500|S|1450205|0
|||||||27070325611415|06193|Bedford, PA Urban Area|9941199|270639|G3500|S|2332485|77536
|||||||27070317151348|06220|Bedford, VA Urban Area|22211678|30240|G3500|S|5739485|4943
|||||||27070407488020|06247|Beebe, AR Urban Area|11586697|0|G3500|S|1912481|0
|||||||27070218429248|06274|Beeville, TX Urban Area|16350545|0|G3500|S|1068720|0
|||||||2707032391318020|06290|Bel Air--Aberdeen, MD Urban Area|277642000|3614984|G3500|S|30803519|138651
|||||||270704485439352|06335|Belfair, WA Urban Area|13854178|1964|G3500|S|7976925|0
|||||||27070108678369|06355|Belfast, ME Urban Area|9120701|45394|G3500|S|2377526|14596
|||||||27070230401863|06382|Belgrade, MT Urban Area|34572870|107241|G3500|S|9061932|1056
|||||||27070674048274|06436|Bellefontaine, OH Urban Area|16085825|0|G3500|S|2448029|0
|||||||27070218518498|06463|Bellefonte, PA Urban Area|20305137|0|G3500|S|5471894|0
|||||||27070216845808|06490|Belle Fourche, SD Urban Area|7406382|0|G3500|S|1125113|0
|||||||27070365033843|06517|Belle Glade, FL Urban Area|18672943|0|G3500|S|2637586|0
|||||||27070466679841|06571|Belle Plaine, MN Urban Area|9192802|0|G3500|S|2515979|0
|||||||27070367295386|06625|Bellevue, OH Urban Area|11577760|181429|G3500|S|801964|2779
|||||||27070482591472|06652|Bellingham, WA Urban Area|129840795|7550895|G3500|S|14112702|2362119
|||||||27070264616433|06679|Bellows Falls, VT--NH Urban Area|6270081|119932|G3500|S|614207|10939
|||||||27070162955771|06760|Beloit, WI--IL Urban Area|82713169|2164278|G3500|S|4515975|134101
|||||||270704485564476|06770|Belterra, TX Urban Area|8700398|0|G3500|S|4811526|0
|||||||270704485566830|06779|Belton, SC Urban Area|11816372|28235|G3500|S|1025914|1981
|||||||27070515994111|06841|Bemidji, MN Urban Area|37447425|2705902|G3500|S|16095064|2705902
|||||||27070256628074|06868|Bend, OR Urban Area|109834087|786737|G3500|S|12063529|226716
|||||||27070140251899|06895|Bennettsville, SC Urban Area|19347948|1278568|G3500|S|1663818|0
|||||||27070484151085|06922|Bennington, VT Urban Area|30128576|301080|G3500|S|11121800|165388
|||||||270701053753653|06949|Benson, AZ Urban Area|7028637|4137|G3500|S|808671|0
|||||||27070199842249|07030|Benton, IL Urban Area|12902238|51328|G3500|S|1897396|21204
|||||||27070188223108|07057|Benton, KY Urban Area|10688616|141709|G3500|S|862931|113931
|||||||27070145012886|07084|Benton, LA Urban Area|11591813|17419|G3500|S|2593836|0
|||||||27070257628724|07138|Benton Harbor--Lincoln--St. Joseph, MI Urban Area|136046516|3221569|G3500|S|29987816|687894
|||||||27070267519357|07165|Berea, KY Urban Area|29728875|133829|G3500|S|2249242|15056
|||||||27070298527026|07192|Berlin, NH Urban Area|12806030|451316|G3500|S|833971|231513
|||||||2707097626319|07219|Berlin, WI Urban Area|8947266|33714|G3500|S|3086643|19194
|||||||27070719397488|07300|Berryville, AR Urban Area|10832198|0|G3500|S|1650030|0
|||||||2707045104402|07381|Bethel, AK Urban Area|38849240|651455|G3500|S|34744778|509917
|||||||2707032391317956|07472|Beverly Hills--Homosassa Springs--Pine Ridge, FL Urban Area|307760295|9556843|G3500|S|96846445|6943701
|||||||270704485564040|07508|Big Bear, CA Urban Area|41255479|552966|G3500|S|6320858|538479
|||||||2707032391317854|07530|Big Lake, MN Urban Area|14048035|2127152|G3500|S|2264223|15689
|||||||27070355825802|07597|Big Pine Key, FL Urban Area|21918342|658787|G3500|S|2407882|18043
|||||||27070191245298|07624|Big Rapids, MI Urban Area|19019305|151973|G3500|S|2080680|7647
|||||||27070712474282|07651|Big Spring, TX Urban Area|53464090|606612|G3500|S|18978457|538881
|||||||27070252582684|07678|Big Stone Gap, VA Urban Area|17045424|230875|G3500|S|4028512|25762
|||||||27070687180766|07705|Billings, MT Urban Area|141671924|353601|G3500|S|19045452|35895
|||||||27070722610478|07732|Binghamton, NY Urban Area|180597279|7940048|G3500|S|13378439|140876
|||||||27070482591473|07759|Birch Bay, WA Urban Area|33814662|393048|G3500|S|4564594|264777
|||||||2707032391317998|07770|Birdsboro--Amity, PA Urban Area|22176287|29128|G3500|S|738331|3398
|||||||2707074307312|07786|Birmingham, AL Urban Area|1319007575|9300252|G3500|S|132375172|1436077
